nome_escola,logradouro,numero,bairro,municipio
EM Sobradinho,Fazenda Sobradinho,,dentro IFTM,Uberlândia
EM Antonino Martins da Silva - anexo,Av. Eleterio Batista Pacheco,,Distrito de Martinésia,Uberlândia
EM Antonino Martins da Silva - zona rural,AV. Luzia Alves Borges,,Distrito de Martinésia,Uberlândia
EM Guarda Antônio Rodrigues Nascimento,Rua das Violas,45,Dona Zulmira,Uberlândia
EMEI Irmã Maria Aparecida Monteiro,Rua Nupotira Sales,3,Esperança,Uberlândia
EM Carlos Tucci,Estrada Harmonia,,Fazenda Cachoeirinha,Uberlândia
EM Leandro José de Oliveira,BR 497 KM 49,,Fazenda Douradinho,Uberlândia
EM Prof Maria Regina Arantes Lemes (Anexo),Rua Corucão,55,Pequis,Uberlândia
EMEI do Bairro Guarani,Rua da Polca,581,Guarani,Uberlândia
EM Prof Stella Saraiva Peano,Avenida Clássica,333,Guarani III,Uberlândia
EM Prof Benedita Pimentel de U. Rocha,Rua Guiomar de Faria,40,Industrial,Uberlândia
EMEI Maria Aparecida da Silva,Rua Nosso Lar,791,Jardim Brasilia,Uberlândia
EM Afrânio Rodrigues da Cunha,Rua Mundial,640,Jardim Brasília,Uberlândia
EMEI do Bairro Jardim Brasília,Rua Plutão,995,Jardim Brasília,Uberlândia
EMEI Francisco Bueno Monteiro,Rua Tiago,286,Maravilha,Uberlândia
EMEI Alírio Graça,Rua Neusa Maria Gomes,35,Marta Helena,Uberlândia
EMEI do Bairro Marta Helena,Rua Bahia,2319,Marta Helena,Uberlândia
EMEI Maria Beatriz Vilela de Oliveira,Rua Miguel Barcha,90,Marta Helena,Uberlândia
EMEI Prof Thales de Assis Martins,Rua Bahia,2359,Marta Helena,Uberlândia
EM Prof Orlanda Neves Strack,Rua da Produção,1675,Minas Gerais,Uberlândia
EMEI Prof Saint’ Clair Netto,Rua dos Roussels,789,Minas Gerais,Uberlândia
EM Prof Ladário Teixeira,Rua Acre,1044,Nossa Sr.ª das Graças,Uberlândia
